season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2016,04-03-17,1869,Spanish Primera Division,Eibar,Real Madrid,74.67,91.73,0.1905,0.6099,0.1995,1.28,2.07,8.1,77.7,1,4,1.71,2.62,1.15,1.53,1.05,4.2
2016,07-03-17,1818,UEFA Champions League,Napoli,Real Madrid,80.66,92.13,0.3891,0.3776,0.2333,1.57,1.99,,,1,3,0.92,1.99,0.81,2.02,1.05,2.63
2016,12-03-17,1869,Spanish Primera Division,Real Madrid,Real Betis,92.6,67.33,0.9061,0.0216,0.0723,2.96,0.49,84.4,5.6,2,1,1.19,0.52,2.12,0.9,2.1,1.05
2016,18-03-17,1869,Spanish Primera Division,Athletic Bilbao,Real Madrid,76.93,92.1,0.2104,0.5714,0.2182,1.22,1.85,15,100,1,2,1.91,1.93,2.69,1.47,1.05,2.1
2016,02-04-17,1869,Spanish Primera Division,Real Madrid,Alavés,91.86,69.85,0.8586,0.0378,0.1037,2.68,0.5,91.2,0.7,3,0,1.76,1.32,1.59,1.16,2.3,0
2016,05-04-17,1869,Spanish Primera Division,Leganes,Real Madrid,67.9,91.69,0.158,0.6419,0.2001,0.96,1.98,,,2,4,1.55,2.41,0.86,1.83,2.1,4.2
2016,08-04-17,1869,Spanish Primera Division,Real Madrid,Atletico Madrid,91.64,87.06,0.5725,0.2028,0.2247,1.94,1.08,100,6.1,1,1,1.43,0.85,1.31,0.68,1.05,1.05
2016,12-04-17,1818,UEFA Champions League,Bayern Munich,Real Madrid,95.56,91.37,0.6378,0.1664,0.1958,2.29,1.14,,,1,2,1.52,2.12,1.89,3.69,1.05,2.1
2016,15-04-17,1869,Spanish Primera Division,Sporting Gijón,Real Madrid,55.45,92.21,0.1162,0.7338,0.15,1.09,2.72,51.1,100,2,3,0.65,1.93,0.56,2.88,2.1,3.15
2016,18-04-17,1818,UEFA Champions League,Real Madrid,Bayern Munich,92.07,95.01,0.3719,0.391,0.2371,1.69,1.68,,,4,2,3.05,2.93,2.98,2.46,3.68,2.1
2016,23-04-17,1869,Spanish Primera Division,Real Madrid,Barcelona,92.62,94.88,0.3678,0.434,0.1982,2.21,2.12,100,100,2,3,3.71,2.76,2.19,2.73,2.1,3.15
2016,26-04-17,1869,Spanish Primera Division,Deportivo La Coruña,Real Madrid,68.18,92.49,0.135,0.6994,0.1656,1.12,2.39,,,2,6,1.47,5.02,1.22,3.25,2.1,5.69
2016,29-04-17,1869,Spanish Primera Division,Real Madrid,Valencia,92.95,72.38,0.9023,0.0294,0.0683,3.3,0.86,100,0,2,1,2.68,1.08,2.22,0.53,2.1,1.05
2016,02-05-17,1818,UEFA Champions League,Real Madrid,Atletico Madrid,92.69,88.46,0.5689,0.2072,0.2239,1.95,1.11,,,3,0,2.66,0.19,1.64,0.53,2.68,0
2016,06-05-17,1869,Spanish Primera Division,Granada,Real Madrid,44.65,93.19,0.08,0.8029,0.117,0.89,3.29,0,100,0,4,0.91,3.72,1.09,2.05,0,4.2
2016,10-05-17,1818,UEFA Champions League,Atletico Madrid,Real Madrid,87.64,93.49,0.3307,0.4198,0.2495,1.47,1.5,,,2,1,1.72,2.07,1.17,2.14,2.1,1.05
2016,14-05-17,1869,Spanish Primera Division,Real Madrid,Sevilla FC,93.42,79.47,0.8281,0.0619,0.1099,2.89,0.93,100,4.9,4,1,1.88,1.11,1.71,0.73,3.66,1.05
2016,17-05-17,1869,Spanish Primera Division,Celta Vigo,Real Madrid,67.87,93.44,0.1161,0.7433,0.1406,1.25,2.82,,,1,4,1.1,3.57,2.21,2.6,1.05,3.74
